INFO 2024-12-07 16:00:34,297 autoreload Watching for file changes with StatReloader
WARNING 2024-12-09 10:19:11,066 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:11,076 log Not Found: /static/admin/js/theme.js
WARNING 2024-12-09 10:19:11,086 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:11,078 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-12-09 10:19:11,091 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:11,084 log Not Found: /static/admin/css/dashboard.css
WARNING 2024-12-09 10:19:11,086 log Not Found: /static/admin/css/responsive.css
WARNING 2024-12-09 10:19:11,093 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:11,093 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:11,108 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2024-12-09 10:19:11,109 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:11,116 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-12-09 10:19:11,117 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:11,119 log Not Found: /static/admin/css/responsive.css
WARNING 2024-12-09 10:19:11,119 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:11,122 log Not Found: /static/admin/css/dashboard.css
WARNING 2024-12-09 10:19:11,124 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
INFO 2024-12-10 13:49:48,916 autoreload Watching for file changes with StatReloader
INFO 2024-12-10 13:50:25,098 basehttp "GET //api/users/ HTTP/1.1" 200 300
WARNING 2024-12-10 13:50:43,641 log Bad Request: /api/users/
WARNING 2024-12-10 13:50:43,641 basehttp "POST //api/users/ HTTP/1.1" 400 109
INFO 2024-12-10 13:50:52,357 basehttp "POST //api/users/ HTTP/1.1" 201 189
WARNING 2024-12-10 13:50:55,910 log Bad Request: /api/users/
WARNING 2024-12-10 13:50:55,912 basehttp "POST //api/users/ HTTP/1.1" 400 111
INFO 2024-12-10 13:51:03,151 basehttp "POST //api/users/ HTTP/1.1" 201 190
INFO 2024-12-10 13:51:05,855 basehttp "GET //api/users/ HTTP/1.1" 200 567
INFO 2024-12-10 13:51:16,362 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/Water/settings.py changed, reloading.
INFO 2024-12-10 13:51:17,899 autoreload Watching for file changes with StatReloader
INFO 2024-12-10 13:51:19,693 basehttp "GET //api/users/ HTTP/1.1" 200 347
WARNING 2024-12-10 13:51:23,191 log Unauthorized: /api/users/
WARNING 2024-12-10 13:51:23,192 basehttp "GET /api/users/?limit=2&offset=2 HTTP/1.1" 401 58
INFO 2024-12-10 13:51:33,981 basehttp "GET /api/users/?limit=2&offset=2 HTTP/1.1" 200 356
INFO 2024-12-11 12:59:22,057 autoreload Watching for file changes with StatReloader
INFO 2024-12-11 12:59:29,675 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/Water/settings.py changed, reloading.
INFO 2024-12-11 12:59:31,555 autoreload Watching for file changes with StatReloader
INFO 2024-12-11 12:59:35,972 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/Water/settings.py changed, reloading.
INFO 2024-12-11 12:59:37,725 autoreload Watching for file changes with StatReloader
INFO 2024-12-11 12:59:45,050 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/Water/settings.py changed, reloading.
INFO 2024-12-11 12:59:46,953 autoreload Watching for file changes with StatReloader
INFO 2024-12-11 12:59:50,834 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/Water/settings.py changed, reloading.
INFO 2024-12-11 12:59:52,673 autoreload Watching for file changes with StatReloader
INFO 2024-12-11 12:59:54,459 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/Water/settings.py changed, reloading.
INFO 2024-12-11 12:59:56,621 autoreload Watching for file changes with StatReloader
INFO 2024-12-11 13:01:21,313 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/Water/settings.py changed, reloading.
INFO 2024-12-11 13:01:23,593 autoreload Watching for file changes with StatReloader
INFO 2024-12-11 13:01:28,524 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/Water/settings.py changed, reloading.
INFO 2024-12-11 13:01:30,693 autoreload Watching for file changes with StatReloader
INFO 2024-12-11 13:01:33,759 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/Water/settings.py changed, reloading.
INFO 2024-12-11 13:01:35,709 autoreload Watching for file changes with StatReloader
INFO 2024-12-12 08:04:06,233 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/Water/settings.py changed, reloading.
INFO 2024-12-12 08:04:32,527 autoreload Watching for file changes with StatReloader
INFO 2024-12-12 08:06:55,693 basehttp "GET //api/users/ HTTP/1.1" 200 567
INFO 2024-12-12 08:08:55,308 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/Water/pagination.py changed, reloading.
INFO 2024-12-12 08:08:56,663 autoreload Watching for file changes with StatReloader
INFO 2024-12-12 08:08:58,184 basehttp "GET //api/users/ HTTP/1.1" 200 567
INFO 2024-12-12 08:10:09,327 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/main/views.py changed, reloading.
INFO 2024-12-12 08:10:10,109 autoreload Watching for file changes with StatReloader
INFO 2024-12-12 08:10:12,734 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/main/views.py changed, reloading.
INFO 2024-12-12 08:10:13,379 autoreload Watching for file changes with StatReloader
INFO 2024-12-12 08:10:14,987 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/main/views.py changed, reloading.
INFO 2024-12-12 08:10:15,701 autoreload Watching for file changes with StatReloader
INFO 2024-12-12 08:10:17,725 basehttp "GET //api/users/ HTTP/1.1" 200 833
INFO 2024-12-12 08:11:26,422 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/main/views.py changed, reloading.
INFO 2024-12-12 08:11:27,055 autoreload Watching for file changes with StatReloader
INFO 2024-12-12 08:11:35,775 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/main/views.py changed, reloading.
INFO 2024-12-12 08:11:36,381 autoreload Watching for file changes with StatReloader
INFO 2024-12-12 08:11:42,196 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/main/views.py changed, reloading.
INFO 2024-12-12 08:11:42,810 autoreload Watching for file changes with StatReloader
INFO 2024-12-12 08:11:54,791 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/main/views.py changed, reloading.
INFO 2024-12-12 08:11:55,696 autoreload Watching for file changes with StatReloader
INFO 2024-12-12 08:12:00,511 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/main/views.py changed, reloading.
INFO 2024-12-12 08:12:01,567 autoreload Watching for file changes with StatReloader
INFO 2024-12-12 08:12:03,261 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/main/views.py changed, reloading.
INFO 2024-12-12 08:12:03,873 autoreload Watching for file changes with StatReloader
INFO 2024-12-12 08:12:06,532 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/main/views.py changed, reloading.
INFO 2024-12-12 08:12:07,442 autoreload Watching for file changes with StatReloader
INFO 2024-12-12 08:12:12,177 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/main/views.py changed, reloading.
INFO 2024-12-12 08:12:13,041 autoreload Watching for file changes with StatReloader
INFO 2024-12-12 08:12:14,639 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/main/views.py changed, reloading.
INFO 2024-12-12 08:12:15,253 autoreload Watching for file changes with StatReloader
INFO 2024-12-12 08:12:20,963 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/main/views.py changed, reloading.
INFO 2024-12-12 08:12:21,689 autoreload Watching for file changes with StatReloader
INFO 2024-12-12 08:12:24,243 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/main/views.py changed, reloading.
INFO 2024-12-12 08:12:24,923 autoreload Watching for file changes with StatReloader
INFO 2024-12-12 08:12:29,594 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/main/views.py changed, reloading.
INFO 2024-12-12 08:12:30,346 autoreload Watching for file changes with StatReloader
INFO 2024-12-12 08:12:57,029 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/main/views.py changed, reloading.
INFO 2024-12-12 08:12:57,905 autoreload Watching for file changes with StatReloader
INFO 2024-12-12 08:12:59,779 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/main/views.py changed, reloading.
INFO 2024-12-12 08:13:00,665 autoreload Watching for file changes with StatReloader
INFO 2024-12-12 08:13:06,346 autoreload /home/dev/Desktop/CodeStorm/WaterV2/Water/main/views.py changed, reloading.
INFO 2024-12-12 08:13:07,166 autoreload Watching for file changes with StatReloader
